stk1,stk2,flag,a,b
600106,2423,0,0,0
600106,600971,0,0,0
600106,666,0,0,0
600106,504,0,0,0
600106,300061,0,0,0
600106,678,0,0,0
600106,300386,0,0,0
600106,300116,0,0,0
600106,600585,0,0,0
600106,600022,0,0,0
600106,300136,0,0,0
600106,300243,0,0,0
600106,702,0,0,0
600106,600166,0,0,0
600106,600795,0,0,0
600106,2714,0,0,0
600106,2166,0,0,0
600106,300242,0,0,0
600106,766,0,0,0
600106,2563,0,0,0
600106,2142,0,0,0
600106,603869,0,0,0
600106,600988,0,0,0
600106,600558,0,0,0
600106,601901,0,0,0
600106,838,0,0,0
600106,816,0,0,0
600106,2676,0,0,0
600106,600307,0,0,0
600106,2289,0,0,0
600106,600188,0,0,0
600106,600648,0,0,0
600106,2255,0,0,0
600106,600867,0,0,0
600106,600199,0,0,0
600106,2140,0,0,0
600106,2219,0,0,0
600106,600614,0,0,0
600106,600761,0,0,0
600106,600626,0,0,0
600106,2408,0,0,0
600106,601166,0,0,0
600106,603519,0,0,0
600106,45,0,0,0
600106,2428,0,0,0
600106,63,0,0,0
600106,900,0,0,0
600106,600884,0,0,0
600106,600773,0,0,0
600106,822,0,0,0
600106,600575,0,0,0
600106,600097,0,0,0
600106,2442,0,0,0
600106,2035,0,0,0
600106,601117,0,0,0
600106,600326,0,0,0
600106,2338,0,0,0
600106,2050,0,0,0
600106,600802,0,0,0
600106,23,0,0,0
600106,600741,0,0,0
600106,25,0,0,0
600106,2679,0,0,0
600106,786,0,0,0
600106,600881,0,0,0
600106,600818,0,0,0
600106,756,0,0,0
600106,300119,0,0,0
600106,600452,0,0,0
600106,600486,0,0,0
600106,600306,0,0,0
600106,65,0,0,0
600106,600605,0,0,0
600106,601958,0,0,0
600106,600062,0,0,0
600106,603918,0,0,0
600106,600238,0,0,0
600106,300426,0,0,0
600106,2615,0,0,0
600106,2425,0,0,0
600106,2189,0,0,0
600106,2545,0,0,0
600106,600183,0,0,0
600106,300057,0,0,0
600106,601798,0,0,0
600106,600318,0,0,0
600106,514,0,0,0
600106,600993,0,0,0
600106,2395,0,0,0
600106,600399,0,0,0
600106,600638,0,0,0
600106,1979,0,0,0
600106,2532,0,0,0
600106,688,0,0,0
600106,300163,0,0,0
600106,2212,0,0,0
600106,601007,0,0,0
600106,600898,0,0,0
600106,2524,0,0,0
600106,600750,0,0,0
600106,300525,0,0,0
600106,600963,0,0,0
600106,601088,0,0,0
600106,2229,0,0,0
